illian,migrt
6717,20190601
9226,20190714
9856,20190803
10560,20190703
11694,20190701
12068,20190706
24738,20190623
26487,20190703
28601,20190803
33506,20190806
34570,20190710
39658,20190726
39936,20190707
40420,20190602
44412,20190801
48901,20190804
54267,20190528
54931,20190804
55262,20190713
58670,20190608
61412,20190601
61412,20190601
73251,20190602
73805,20190727
75961,20190701
76202,20190713
80968,20190615
84608,20190603
88657,20190801
92803,20190706
98741,20190601
99228,20190711
105765,20190707
109069,20190814
109257,20190522
110224,20190720
115478,20190706
118085,20190703
125865,20190712
126272,20190803
126471,20190804
128339,20190603
137543,20190701
137618,20190703
137752,20190704
150718,20190622
151995,20190716
155765,20190512
157291,20190707
158177,20190801
160703,20190601
169738,20190601
183125,20190801
194148,20190715
196707,20190530
201440,20190601
213337,20190701
225536,20190802
237119,20190701
237982,20190804
242469,20190511
249190,20190601
254711,20190712
256239,20190504
259377,20190604
269201,20190501
269491,20190601
270643,20190803
271627,20190701
276404,20190701
276834,20190810
278978,20190718
282644,20190802
284475,20190618
284992,20190519
285930,20190801
287195,20190801
289701,20190527
289837,20190526
291776,20190601
292849,20190623
296531,20190601
311506,20190703
333960,20190805
338805,20190601
341768,20190803
342229,20190701
352931,20190816
365526,20190801
375538,20190703
379751,20190702
379872,20190701
383817,20190606
383949,20190806
389957,20190619
392525,20190824
393024,20190729
395753,20190504
395972,20190801
402252,20190604
403864,20190709
404017,20190610
404160,20190713
405535,20190708
408518,20190816
410085,20190602
412957,20190708
420256,20190706
420796,20190606
426280,20190709
429897,20190712
434386,20190519
435944,20190723
436045,20190702
437171,20190713
437576,20190701
437816,20190518
439670,20190601
440707,20190801
440795,20190709
445412,20190801
446654,20190801
450007,20190702
452277,20190602
464992,20190510
465693,20190812
466921,20190607
466943,20190703
469158,20190801
469784,20190802
479261,20190702
480232,20190610
485866,20190603
503869,20190726
504810,20190727
505512,20190607
506035,20190604
506424,20190601
515214,20190717
515965,20190601
528017,20190605
532454,20190803
532794,20190710
533899,20190626
537429,20190718
542679,20190803
546402,20190606
547999,20190801
548588,20190801
549054,20190614
561949,20190606
568934,20190526
569400,20190803
574160,20190804
577820,20190702
579980,20190701
584013,20190609
585225,20190609
590473,20190828
594398,20190704
595847,20190805
601902,20190601
604736,20190722
607274,20190601
612220,20190719
612431,20190721
613698,20190613
614082,20190614
615054,20190605
618684,20190709
625945,20190716
630053,20190513
632738,20190601
634546,20190816
635540,20190526
638707,20190518
641025,20190510
641756,20190804
648184,20190701
653738,20190701
660240,20190709
661336,20190601
664627,20190810
665341,20190712
667145,20190601
673027,20190602
678509,20190801
688409,20190701
689166,20190704
690352,20190626
702075,20190809
705487,20190701
711298,20190801
718117,20190701
721229,20190801
727326,20190704
727430,20190731
732805,20190801
737068,20190712
739109,20190604
745162,20190517
746431,20190728
746908,20190613
749058,20190701
749402,20190608
752359,20190623
759802,20190505
767094,20190714
769453,20190723
769906,20190702
771584,20190614
773326,20190607
774781,20190518
774806,20190629
780107,20190801
781606,20190801
782617,20190703
783486,20190806
789910,20190602
793457,20190601
802103,20190610
803801,20190717
809456,20190531
812520,20190810
822993,20190701
824531,20190601
824617,20190701
827129,20190804
828224,20190803
835995,20190615
838390,20190701
844128,20190801
846740,20190601
847720,20190712
854269,20190703
858518,20190701
864892,20190607
865167,20190703
879233,20190601
879432,20190728
881891,20190601
884341,20190620
885511,20190705
892076,20190501
893099,20190726
896364,20190701
900051,20190526
910076,20190603
916712,20190504
917830,20190526
919799,20190703
920571,20190726
925193,20190615
928827,20190801
930420,20190804
930608,20190603
931541,20190601
932065,20190801
933310,20190728
938189,20190701
942546,20190601
943808,20190702
950209,20190701
952670,20190805
954874,20190817
955460,20190601
958149,20190701
965797,20190701
979182,20190504
981295,20190517
982808,20190518
984530,20190701
988333,20190801
997844,20190602
998340,20190723
999409,20190801
1017498,20190801
1019780,20190621
1023121,20190731
1035382,20190728
1037952,20190601
1038673,20190630
1040969,20190714
1041209,20190717
1042740,20190601
1064574,20190801
1066554,20190605
1069026,20190704
1070692,20190804
1076291,20190801
1076603,20190602
1083847,20190610
1084742,20190802
1087083,20190613
1088449,20190504
1095098,20190701
1096091,20190602
1098133,20190801
1100413,20190619
1100546,20190615
1106174,20190721
1106297,20190805
1113131,20190801
1114165,20190610
1122230,20190803
1122405,20190701
1130000,20190603
1135097,20190608
1135370,20190605
1137571,20190805
1137679,20190714
1138562,20190815
1143937,20190801
1147635,20190802
1147974,20190601
1148611,20190801
1151894,20190608
1152752,20190616
1158716,20190704
1158807,20190727
1159109,20190716
1160554,20190701
1162122,20190712
1163647,20190623
1168389,20190717
1172552,20190715
1177817,20190701
1180519,20190701
1181432,20190706
1188688,20190610
1191291,20190713
1196064,20190611
1196732,20190713
1200620,20190803
