coords,"(113.8217538301683, 22.695054564128984)","(113.83905075110482, 22.730816919442955)","(113.8459909539568, 22.689497398249955)","(113.85418693317412, 22.721476129853944)","(113.81881523600764, 22.75144080468773)","(113.83835039645068, 22.707972199031104)","(113.80358238132692, 22.739170813741627)","(113.82100038874977, 22.740267612530623)","(113.85420966157784, 22.721756320117827)","(113.8261265859758, 22.741630755564017)","(113.82097160130566, 22.739409765832928)","(113.83870410437312, 22.70824089416124)","(113.83894509218725, 22.70832643578929)","(113.8029947451216, 22.73963526627557)","(113.8255877501778, 22.740467189229683)","(114.1837141008218, 22.66024665154704)","(113.79903465356554, 22.732266721797096)","(113.82280721993736, 22.738282221397373)","(113.81863889729132, 22.73721560270781)","(113.82547043203664, 22.732072572369457)","(113.82220467282325, 22.739224404005306)","(113.851816448767, 22.72177247312277)","(113.81898810539418, 22.745659923583755)","(113.85745294867267, 22.71310471792549)","(113.83890370760425, 22.73001989242725)","(113.8838172397166, 22.662505211818544)","(113.8528141635792, 22.72113514742812)","(113.85058656048749, 22.72283290030872)","(113.79424661745055, 22.72316396036463)","(113.8524580863241, 22.73201123763933)","(113.82230477836409, 22.73771273680605)","(113.85749152080878, 22.710729530328926)","(113.8394620811632, 22.730274593961543)","(113.83320035508328, 22.710288669248776)","(114.14517823399432, 22.616764652588543)","(113.84108354467917, 22.728718442519604)","(113.84911633552213, 22.77376297981668)","(113.7996173603976, 22.69845713462011)","(113.8124756211018, 22.73911401553136)","(113.82033985085772, 22.75034048564345)","(113.84029561028052, 22.71432752106541)","(113.84947740757984, 22.718596762893288)","(113.85226804355432, 22.72204484887792)","(113.82669465097948, 22.74182474386325)","(113.85404967402069, 22.721980682017072)","(113.83768968199222, 22.70836520891622)","(113.81900272893492, 22.751327231587776)","(113.8203581120728, 22.73916049552549)","(113.84030171372964, 22.728874432606496)","(113.81579179111068, 22.721538459635905)","(113.83611068481646, 22.706393785175827)","(113.8517227144006, 22.722070198258628)","(113.80031180705096, 22.76262130078557)","(113.78336406757376, 22.73969414081475)","(114.08051194846888, 22.53316040238564)","(113.85762261990378, 22.710948677728616)","(113.8216525636664, 22.75958277862884)","(113.8237435977103, 22.740701224434723)","(113.81732938826264, 22.736630019963336)","(113.81941817365755, 22.737761119629813)","(113.81420263992884, 22.746863912810795)","(113.8411236937814, 22.72991862960373)","(113.8299294673386, 22.701542714887747)","(113.83767636678552, 22.729246298982783)","(113.83995382601772, 22.730455134940343)","(113.82319826296768, 22.73999319176838)","(113.8405404496809, 22.72906866121977)","(113.85010216984654, 22.718924927090395)","(113.79122886797629, 22.732434904147123)","(113.81639144939597, 22.76952145347482)","(113.8142912476205, 22.73297791594709)","(113.80172946787565, 22.731842459450743)","(113.80909905139586, 22.716522988011764)","(113.81990470576372, 22.740949654796253)","(113.85174112803664, 22.7221156818462)","(113.85407745160286, 22.722006394622472)","(114.12305939681768, 22.547141131075225)","(113.85831990618252, 22.72794848568245)","(113.83986511037672, 22.730093065006383)","(113.84778332221902, 22.717390210040808)","(113.80530165534152, 22.74054075708143)","(113.85687029937056, 22.728804330172714)","(113.81575315058524, 22.733103969816504)","(113.82925756712037, 22.7273109606338)","(113.85713487648223, 22.72829516006561)","(113.84253291323068, 22.71178183772002)","(113.7921152074802, 22.68317386986728)","(113.84009559121066, 22.72979014450255)","(113.83917493399537, 22.73007038142492)","(113.91943272122889, 22.54585818718256)",no action
"(113.78336406757376, 22.73969414081475)",-0.08431634,0.4105575,0.2009444,0,0.044986263,0.37319472,0.45718277,0.19652739,0,0.43406117,0.17985526,-0.06840128,0.2996803,0,-0.47234064,0,-0.37650162,0.03498272,-0.29046682,-0.32113552,0,-0.015443014,0.0753777,-0.50094163,0.26220334,0,0.5758356,-0.15364721,0,-0.1745114,0.25675672,0,-0.10228164,-0.505806,-0.23278356,-0.1343607,-0.17796184,-0.10336,0.45616788,0,0.037800804,0.038623363,0.04874105,-0.3005578,0.3299288,0.6659769,0.12999573,0,0.048456997,-1.0470946,0.16448155,-0.15967123,-0.09813171,-0.36350468,-0.13553014,-0.2515174,0,-0.50677687,0.152307,0,-0.14162044,0.2603931,-0.49777326,0,0,0,-0.4443905,0.081628904,0.4290955,0.35582462,-0.57856214,-0.13939789,-0.41445902,0.007184297,0.72772855,0,-0.5604892,-0.16037443,-0.18543167,-0.14250456,-0.16823599,-0.47538185,0,0.13547564,0.16623381,0.10490871,0.10217546,0,-0.06447242,0.029097058,0.10295001
"(113.79122886797629, 22.732434904147123)",-0.19684023,0.13231151,-0.034706295,0,0.10686589,0.024158156,0.59184927,-0.06815885,0,0.36369172,0.14953917,-0.185256,0.20164032,0,-0.2638233,0,-0.34564382,-0.1262963,-0.1393445,-0.28226978,0,-0.030696135,0.04451448,-0.4174087,-0.0032591075,0,0.30712688,-0.25942487,0,-0.027367163,-0.041685063,0,-0.110514514,-0.18121542,-0.04513807,-0.13512729,-0.13704972,-0.35950345,0.18812296,0,0.017933384,0.16549127,0.11898483,-0.2529059,0.20953447,0.2815302,0.060248345,0,-0.20589784,-0.6281614,-0.007868189,-0.10671401,-0.20339456,-0.2366025,-0.30568892,-0.20507447,0,-0.30166435,0.016905341,0,-0.009289142,0.2569784,-0.24974832,0,0,0,-0.19614166,0.09102704,0.38254642,0.24593212,-0.5064623,-0.060334392,-0.111213624,-0.17838398,0.440277,0,-0.5747476,-0.23883443,-0.12802137,-0.16709481,-0.21536446,-0.4164199,0,-0.046751827,0.050354823,-0.068453796,-0.057040274,0,0.053332206,-0.06368594,0.17968614
"(113.7921152074802, 22.68317386986728)",-0.18876183,0.2888398,-0.0045975987,0,-0.06367359,0.18451585,0.45635587,0.08602029,0,0.32604173,0.14668545,-0.19101429,0.3741598,0,-0.19970362,0,-0.66174006,-0.083006285,-0.35041285,-0.14669804,0,-0.06493313,-0.16009064,-0.32963026,0.11652763,0,-0.045798652,-0.21321422,0,-0.17815804,-0.22483587,0,-0.31441942,-0.13661592,-0.087152086,0.03909438,0.22698069,-0.15027358,0.17626339,0,0.03429301,0.22395124,-0.27979517,-0.28290027,0.17376071,0.3040175,0.28280675,0,-0.03866835,-0.49671316,0.06986419,-0.25732982,-0.30479312,-0.20045431,-0.17598173,0.052081313,0,-0.26576516,-0.07943785,0,-0.27913564,0.062027626,-0.37145787,0,0,0,-0.19458899,0.112136245,0.5099602,0.38990006,-0.6049951,-0.03826856,-0.21755761,-0.35226583,0.55602705,0,-0.3824524,-0.10379432,0.053571735,-0.18227957,-0.4637553,-0.26204574,0,-0.35304782,-0.2140879,-0.17326386,-0.07747409,0,0.35164732,0.16176352,0.14262287
"(113.79424661745055, 22.72316396036463)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79903465356554, 22.732266721797096)",-0.20261031,0.083231434,-0.025753783,0,0.19808972,0.02905794,0.58477926,-0.13501893,0,0.32663208,0.104819484,-0.22149082,0.27213675,0,-0.15341507,0,-0.50676095,-0.23395255,-0.16312663,-0.28062063,0,-0.012748882,0.10270646,-0.38207084,-0.03325978,0,0.2519524,-0.41087306,0,-0.049837302,-0.12335773,0,-0.089836046,0.013386995,-0.104561515,-0.113599986,-0.083706394,-0.38472706,0.11382529,0,0.050814405,0.30973262,-0.00849575,-0.31405467,0.18751568,0.18597773,0.037021637,0,-0.17002922,-0.4668424,-0.022616703,-0.19661509,-0.21335995,-0.2485305,-0.28715524,-0.22407138,0,-0.13348015,0.056696244,0,-0.10375756,0.22790566,-0.22786751,0,0,0,-0.21183464,0.058838103,0.26523036,0.36343384,-0.6936815,-0.108911626,-0.04033507,-0.17630002,0.46091625,0,-0.6084748,-0.3930954,-0.029463228,-0.06260832,-0.30707532,-0.49846286,0,-0.17539626,0.024126709,-0.0007608165,-0.03853914,0,-0.0371189,-0.13277619,0.14023559
"(113.7996173603976, 22.69845713462011)",-0.109926865,0.32399407,0.025453253,0,0.034900412,0.24790849,0.49896824,0.041802153,0,0.36455572,0.117420875,-0.18054406,0.4189843,0,-0.13886383,0,-0.6637367,-0.12273793,-0.25232837,-0.31361115,0,-9.6187e-06,-0.04337355,-0.4272231,0.10386519,0,0.1981453,-0.2826317,0,-0.18732658,-0.110308796,0,-0.22782932,-0.17830242,-0.14481187,-0.016217016,0.12699138,-0.23558135,0.2575062,0,0.032903433,0.22271411,-0.2123423,-0.31543243,0.23692912,0.4362561,0.2018499,0,-0.038664915,-0.6755679,0.101985805,-0.1521061,-0.25049052,-0.20899665,-0.2511239,-0.08872841,0,-0.25981084,0.045787085,0,-0.25792718,0.14503983,-0.4119008,0,0,0,-0.25470006,0.18629394,0.45523608,0.46662292,-0.61347044,-0.07720309,-0.26218697,-0.29334864,0.6624299,0,-0.51258814,-0.20311408,-0.027914803,-0.11577782,-0.36359018,-0.3255032,0,-0.21187487,-0.08635215,-0.052954074,-0.025601393,0,0.14745757,0.06712565,0.12240922
"(113.80031180705096, 22.76262130078557)",-0.32344505,-0.17077512,-0.22117712,0,0.17722028,-0.32659334,0.67075855,-0.2244904,0,0.26103413,0.1404748,-0.26545855,-0.022629485,0,-0.10496469,0,-0.2272668,-0.31642452,-0.022388084,-0.30570918,0,-0.022967849,-0.0042831562,-0.33042598,-0.15341699,0,0.12363955,-0.2560401,0,0.08783707,-0.26247013,0,-0.11540559,0.07660954,0.17296493,-0.19625513,-0.20007984,-0.6032712,-0.07258053,0,0.101065114,0.22918747,0.40019834,-0.16019242,0.007837195,-0.057245012,0.0058656484,0,-0.32619455,-0.21233284,-0.17782906,-0.051781848,-0.23225528,-0.16036056,-0.46292296,-0.26292628,0,-0.11311865,-0.09398303,0,0.20327121,0.31054237,0.11044395,0,0,0,0.022804178,0.018857162,0.1813279,0.0981546,-0.4161468,-0.0016374663,0.21799143,-0.15995505,0.055996478,0,-0.6048133,-0.38428184,0.073234305,-0.24758485,-0.20918955,-0.482629,0,-0.105597325,-0.042422816,-0.22050884,-0.14085978,0,0.12378803,-0.20717087,0.24830647
"(113.80172946787565, 22.731842459450743)",-0.16736215,0.14633515,0.016510008,0,0.12797213,0.0909925,0.553974,-0.06321384,0,0.33171993,0.09746938,-0.19635701,0.277506,0,-0.1883592,0,-0.48640025,-0.14449342,-0.19744198,-0.25740558,0,-0.03657723,0.044541094,-0.37742758,0.012236372,0,0.24091873,-0.31750268,0,-0.058129434,-0.0886531,0,-0.10620689,-0.11217326,-0.13223562,-0.1053163,-0.058693286,-0.28986385,0.16261464,0,0.03589052,0.21504419,-0.057000205,-0.28791142,0.19442579,0.26884657,0.101557404,0,-0.156687,-0.54252267,0.034574892,-0.17168802,-0.1932222,-0.2387168,-0.23873141,-0.15481474,0,-0.2204444,0.03791348,0,-0.124632135,0.19411042,-0.28034517,0,0,0,-0.22175732,0.057463083,0.3265016,0.32142964,-0.6184239,-0.100464754,-0.12737125,-0.1613135,0.4941459,0,-0.5440316,-0.2977619,-0.057415675,-0.07073455,-0.29567036,-0.43721086,0,-0.13137901,0.0119541995,-0.014383528,-0.008985763,0,0.008233633,-0.07621364,0.13163143
"(113.8029947451216, 22.73963526627557)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.80358238132692, 22.739170813741627)",-0.17820135,0.076822534,-0.034476705,0,0.22112545,0.060508274,0.55800027,-0.16252229,0,0.27009824,0.059391715,-0.2331179,0.32912034,0,-0.039771225,0,-0.5990432,-0.29560873,-0.14933068,-0.29660338,0,0.007954467,0.11818813,-0.33638328,-0.04170624,0,0.18038201,-0.46426207,0,-0.094423726,-0.17260876,0,-0.08493876,0.11878263,-0.18053406,-0.0721879,-0.0111785345,-0.37263003,0.066024736,0,0.0590982,0.37477076,-0.12579393,-0.32881087,0.18615097,0.13226525,0.030562073,0,-0.123368904,-0.3402556,-0.026114237,-0.23653676,-0.22145653,-0.2092935,-0.281323,-0.2059656,0,-0.019076468,0.07852699,0,-0.1749309,0.16896763,-0.21203318,0,0,0,-0.1993073,0.053661752,0.21908729,0.41885167,-0.75733984,-0.12469617,-0.01712438,-0.19920248,0.46518216,0,-0.57566565,-0.4467623,0.010958631,0.015142521,-0.34014285,-0.50346184,0,-0.2685792,-0.011218004,0.03551856,-0.040729165,0,-0.0806226,-0.14817111,0.11038352
