coords,reward
"(113.8594877, 22.57118435)",2.612225294113159
"(113.8719434, 22.58630867)",2.4477124214172363
"(113.8850759, 22.55772043)",2.5562071800231934
"(113.9113038, 22.57464149)",2.077507972717285
"(113.9143601, 22.54110415)",1.8765403032302856
"(113.9290353, 22.54641042)",2.386929750442505
"(113.9482093, 22.64197098)",3.160585880279541
"(113.9515039, 22.58253306)",1.9845036268234253
"(113.9552379, 22.58950796)",2.5743820667266846
"(113.9675074, 22.65265293)",2.9983906745910645
"(113.974963, 22.62746997)",3.017348527908325
"(113.9752834, 22.69752747)",2.8660736083984375
"(113.9778665, 22.63606236)",2.750504970550537
"(113.9807812, 22.73243144)",2.4191036224365234
"(113.9809225, 22.68565797)",3.2707207202911377
"(113.9841389, 22.67423889)",3.2951526641845703
"(113.9880927, 22.72954615)",2.599137783050537
"(113.9898212, 22.54196643)",3.2048583030700684
"(113.9900335, 22.68397956)",3.3524749279022217
"(113.9904579, 22.64226492)",2.5649893283843994
"(113.9916493, 22.64737741)",2.647141456604004
"(113.9916718, 22.58784857)",2.877551555633545
"(113.9932062, 22.52654266)",2.1552248001098633
"(113.9932346, 22.6527139)",2.6955015659332275
"(113.9963046, 22.70992704)",2.9642105102539062
"(113.9970331, 22.67117824)",3.310933828353882
"(113.9992792, 22.65421715)",2.6976158618927
"(114.0005952, 22.73264238)",2.8706772327423096
"(114.0007128, 22.66430697)",2.800126791000366
"(114.001633, 22.72922333)",2.7879199981689453
"(114.0023106, 22.72848698)",2.7361249923706055
"(114.0028643, 22.6404759)",2.8839638233184814
"(114.0038738, 22.6508556)",2.7178680896759033
"(114.0050955, 22.65370331)",2.3056650161743164
"(114.0051044, 22.66179899)",2.115854263305664
"(114.0079145, 22.63527954)",2.408592939376831
"(114.0088245, 22.62611097)",2.6866509914398193
"(114.0093786, 22.74123652)",2.8325798511505127
"(114.0095287, 22.6636055)",2.0801291465759277
"(114.0097406, 22.62735548)",2.4376578330993652
"(114.0104678, 22.64405655)",2.587594985961914
"(114.0105245, 22.68673743)",3.253028392791748
"(114.0107444, 22.58362918)",2.2877702713012695
"(114.0108309, 22.54178088)",2.6297645568847656
"(114.0109276, 22.67354122)",2.6534996032714844
"(114.0116695, 22.67959989)",2.7906363010406494
"(114.0122189, 22.54090218)",2.65006685256958
"(114.0125738, 22.63974572)",2.118166923522949
"(114.0125816, 22.74428378)",2.8321640491485596
"(114.0129655, 22.6333271)",2.4324662685394287
