date,pr_acc_contrib,exp_acc_contrib,pr_mse_contrib,exp_mse_contrib
20190707,0.01923077,0.0064102565,0.18862985,0.017590754
20190708,0.012345679,0.0,0.20505276,0.003162641
20190709,0.017857144,-0.005952381,0.15638311,0.012483729
20190710,0.011904762,0.011904762,0.15238789,0.066965014
20190711,0.017857144,0.005952381,0.151106,0.045734152
20190712,0.023529412,0.0,0.23869577,0.06671996
20190713,-0.0057471264,0.0057471264,0.19450828,0.064428195
20190714,0.017857144,0.005952381,0.14862466,0.122180626
20190715,0.017441861,-0.0058139535,0.14052324,0.07785521
20190716,0.011494253,0.011494253,0.17096272,0.059631154
20190717,0.0057471264,0.0057471264,0.102339886,0.06976199
20190718,0.0,0.0,0.125283,0.11683783
20190719,0.0,0.0,0.07661308,0.10448737
20190720,0.0,0.0,0.121452235,0.14056775
20190721,0.0,0.0,0.15269126,0.12754607
20190722,0.005882353,-0.005882353,0.10279448,0.104402654
20190723,0.0,0.0,0.17409776,0.069117114
20190724,0.0,0.0,0.15977472,0.07512491
20190725,-0.011764706,0.0,0.11922642,0.053439323
20190726,0.0,0.0,0.139857,0.09042866
20190728,0.0,0.0,0.0705328,0.16075616
20190729,0.0,0.0,0.10573109,0.107571244
20190730,0.0,0.0,0.099177666,0.11623219
20190731,0.0,0.0,0.16607322,0.06541411
20190801,-0.0121951215,0.0,0.103707865,0.09540181
20190802,0.0,0.0,0.12090924,0.123272546
20190803,0.0,0.0,0.08029301,0.16094607
20190804,0.0,0.0,0.12154665,0.09266346
20190805,0.0,0.0,0.10646957,0.10257718
20190806,0.0,0.0,0.1643168,0.111170374
20190807,0.0,0.0,0.17639045,0.11664472
20190808,0.0,0.0,0.1598272,0.13718
20190809,0.012048192,0.0,0.18159443,0.07588362
20190810,0.0,0.0,0.09417003,0.16025181
20190811,-0.0057471264,-0.01724138,0.11531673,0.114933945
20190812,0.0,0.0,0.100942135,0.042882673
20190813,-0.0056179776,-0.0056179776,0.13393293,0.031545352
20190814,0.0,0.0,0.043114003,0.13444796
20190815,0.0,0.0,0.08079814,0.06388874
20190816,0.0,0.0,0.067718446,0.08388929
20190817,0.0,0.0,0.03323076,0.15068805
20190818,0.0125,0.0,0.060538743,0.12672289
20190819,-0.006024096,-0.006024096,0.017143413,0.10284929
20190820,0.0,0.0,0.02385924,0.080973595
20190821,0.0,0.0,0.026079243,0.088134065
20190822,0.0,0.0,0.048838727,0.076518856
20190823,0.0,0.0,-0.0005421424,0.080939874
20190824,0.0064935065,-0.0064935065,-0.0052447957,0.10435973
20190825,0.0,0.0,-0.0066628167,0.04752224
20190827,0.0,0.0,0.0062218746,0.09177673
20190828,0.0,0.0,0.13302532,-0.0013704561
20190829,0.0,0.0,0.11478487,-0.0002968125
20190830,0.0,0.0,0.118788,-0.023346834
20190831,0.0,0.0,0.16317834,-0.056558184
20190901,0.0,-0.013333334,0.12402399,-0.045725007
20190902,0.0,0.0,0.066186346,0.07550773
20190903,0.0,0.0,0.13296814,-0.016771048
20190904,0.0061728396,-0.0061728396,0.15911056,-0.07301084
20190905,0.0,0.0,0.13969511,-0.0041854717
20190906,0.0,0.0,0.09662884,-0.013735488
20190907,0.0,0.0,0.055878155,0.054324187
20190908,0.00625,-0.00625,0.05151315,0.06984006
20190909,0.0,0.0,0.049246714,0.080617666
20190910,0.0,0.0,0.023097608,0.08276919
20190911,-0.012048192,0.0,0.052567758,0.080713235
20190912,0.0,0.0,0.097552404,0.078299105
20190913,0.0,0.0,0.07901212,0.08651206
20190914,0.0,0.0,0.061675392,0.07237614
20190915,0.0,0.0,0.08257541,0.11050527
20190916,-0.0064102565,-0.0064102565,0.09023059,0.11119969
20190917,0.0,0.0,-0.009140157,0.14935896
20190918,0.0,0.0,0.054937903,0.1077577
20190919,0.0,0.0,0.053219676,0.15157321
20190920,0.0069444445,0.0069444445,0.104516834,0.061638676
20190921,0.0,0.0,0.11046584,0.07519667
20190922,0.0,0.0,0.057110827,0.07019292
20190923,0.0,0.0,0.06383349,0.065143906
20190927,0.0,0.0,0.055491462,0.04053544
20190928,0.0,0.0,0.07220381,0.0630776
20190929,0.007142857,0.007142857,0.07307819,0.040672284
